SourceId,Relation,TargetId,Description

# Principles supporting NFRs
principle_single_responsibility,supports,nfr_maintainability,Single responsibility makes changes localized and reduces side effects.
principle_meaningful_names,supports,nfr_readability,Clear names make code intent easier to understand.
principle_small_functions,supports,nfr_readability,Small focused functions reduce cognitive load.
principle_small_functions,supports,nfr_testability,Focused behavior is easier to test in isolation.
principle_dry,supports,nfr_maintainability,Removing duplication means fewer places to change when requirements evolve.
principle_low_coupling,supports,nfr_maintainability,Low coupling reduces ripple effects of changes.
principle_low_coupling,supports,nfr_testability,Loosely coupled components are easier to mock or stub.
principle_high_cohesion,supports,nfr_maintainability,High cohesion clarifies responsibilities and simplifies reasoning.
principle_encapsulation,supports,nfr_maintainability,Encapsulation hides implementation details behind stable contracts.
principle_defensive_programming,supports,nfr_reliability,Defensive checks prevent invalid states and unexpected failures.
principle_fail_fast,supports,nfr_reliability,Fail fast exposes problems early making them easier to diagnose.
principle_immutability,supports,nfr_reliability,Immutable data avoids subtle bugs from shared mutable state.
principle_logging_monitoring,supports,nfr_reliability,Logging and monitoring support detection and recovery from failures.
principle_input_validation,supports,nfr_security,Strong validation blocks malformed or malicious input.
principle_dependency_injection,supports,nfr_testability,Injected dependencies allow isolated and repeatable tests.
principle_separation_of_concerns,supports,nfr_maintainability,Separated concerns reduce the scope of each change.
principle_clear_error_handling,supports,nfr_reliability,Consistent error handling improves predictability of failure modes.
principle_clear_error_handling,supports,nfr_usability,Clear error reporting improves user experience when things go wrong.
principle_dry,supports,nfr_performance,Shared optimized implementations avoid repeating inefficient code.
principle_small_functions,supports,nfr_performance,Smaller functions make hotspots easier to profile and optimize.
principle_low_coupling,supports,nfr_scalability,Loose coupling enables independent scaling of services or components.
principle_observability,supports,nfr_scalability,Observability was defined as a practice; keep NFR link via practice.

# Practices supporting principles
practice_code_reviews,implements,principle_meaningful_names,Reviews enforce naming and style conventions.
practice_code_reviews,implements,principle_single_responsibility,Reviews challenge classes and methods that take on too many concerns.
practice_static_analysis,implements,principle_dry,Static analysis can detect duplication and suggest extraction.
practice_static_analysis,implements,principle_low_coupling,Tools highlight overly dependent modules and cyclic dependencies.
practice_continuous_integration,implements,principle_fail_fast,Frequent builds and tests surface integration issues early.
practice_test_automation,implements,principle_dependency_injection,Automated tests encourage injectable boundaries and abstractions.
practice_refactoring,implements,principle_small_functions,Refactoring gradually breaks down large functions into smaller ones.
practice_refactoring,implements,principle_high_cohesion,Refactoring clusters related behavior and data.
practice_coding_standards,implements,principle_meaningful_names,Standards require expressive names and consistent patterns.
practice_pair_programming,implements,principle_clear_error_handling,Pairs are more likely to notice inconsistent error handling.
practice_observability,implements,principle_logging_monitoring,Instrumented code provides metrics logs and traces.
practice_continuous_delivery,implements,principle_fail_fast,Smaller deploys expose defects quickly and make rollback easier.

# Practices directly supporting NFRs
practice_code_reviews,supports,nfr_maintainability,Reviews catch design issues early and share knowledge.
practice_static_analysis,supports,nfr_maintainability,Automated checks help keep the codebase healthy over time.
practice_continuous_integration,supports,nfr_reliability,Frequent integration plus tests reduce integration defects.
practice_test_automation,supports,nfr_testability,Automated suites measure and improve test coverage.
practice_refactoring,supports,nfr_maintainability,Regular refactoring keeps complexity under control.
practice_coding_standards,supports,nfr_readability,Consistent style makes code easier to read across teams.
practice_pair_programming,supports,nfr_maintainability,Shared ownership reduces knowledge silos and improves design.
practice_observability,supports,nfr_reliability,Telemetry enables quick detection and triage of production issues.
practice_continuous_delivery,supports,nfr_reliability,Smaller frequent releases lower deployment risk.

# Smells hurting NFRs
smell_long_method,hurts,nfr_maintainability,Long methods are harder to understand modify and test.
smell_large_class,hurts,nfr_maintainability,Large classes hide many reasons to change in one place.
smell_duplicate_code,hurts,nfr_maintainability,Fixes must be duplicated across many locations.
smell_long_parameter_list,hurts,nfr_readability,Many parameters make call sites and signatures hard to follow.
smell_feature_envy,hurts,nfr_maintainability,Logic depending heavily on foreign data scatters responsibilities.
smell_god_object,hurts,nfr_maintainability,Central objects become bottlenecks and sources of hidden coupling.
smell_magic_numbers,hurts,nfr_readability,Unexplained literals obscure intent and rules.
smell_comment_debt,hurts,nfr_maintainability,Outdated comments mislead maintainers.
smell_tight_coupling,hurts,nfr_maintainability,Changes ripple across tightly bound components.
smell_tight_coupling,hurts,nfr_testability,Tightly coupled code is hard to isolate in tests.
smell_global_state,hurts,nfr_reliability,Shared mutable state leads to non-deterministic behavior and hidden dependencies.
smell_global_state,hurts,nfr_testability,Global state complicates test setup and teardown.
smell_primitive_obsession,hurts,nfr_maintainability,Primitive types hide important domain invariants.
smell_lack_of_tests,hurts,nfr_testability,Behavior cannot be safely changed without good feedback.
smell_lack_of_tests,hurts,nfr_reliability,Bugs slip into production without detection.
smell_inconsistent_error_handling,hurts,nfr_reliability,Inconsistent handling leads to unpredictable failure behavior.
smell_no_logging,hurts,nfr_reliability,Lack of logs makes diagnosing issues difficult.
smell_inefficient_algorithm,hurts,nfr_performance,Unnecessary work slows down responses and wastes resources.
smell_chatty_interface,hurts,nfr_performance,Excessive remote calls increase latency and contention.
smell_insecure_defaults,hurts,nfr_security,Weak defaults expose the system to misuse.
smell_poor_validation,hurts,nfr_security,Unvalidated inputs can be used to exploit the system.
smell_complex_conditionals,hurts,nfr_readability,Complex branching logic is hard to reason about and maintain.
smell_mixed_concerns,hurts,nfr_maintainability,Mixing concerns makes changes risky and error-prone.

# Principles mitigating smells
principle_single_responsibility,mitigates,smell_large_class,Splitting responsibilities reduces overly large classes.
principle_single_responsibility,mitigates,smell_long_method,Focused responsibilities lead to shorter methods.
principle_dry,mitigates,smell_duplicate_code,Shared abstractions replace repeated logic.
principle_meaningful_names,mitigates,smell_magic_numbers,Named constants and types replace unexplained literals.
principle_separation_of_concerns,mitigates,smell_mixed_concerns,Layers and modules keep concerns independent.
principle_low_coupling,mitigates,smell_tight_coupling,Designing to abstractions reduces direct dependencies.
principle_encapsulation,mitigates,smell_global_state,Encapsulation hides mutable state behind clear interfaces.
principle_immutability,mitigates,smell_global_state,Immutable data can replace shared mutable fields.
principle_clear_error_handling,mitigates,smell_inconsistent_error_handling,A standard strategy for errors makes behavior predictable.
principle_logging_monitoring,mitigates,smell_no_logging,Logging and metrics fill observability gaps.
principle_dependency_injection,mitigates,smell_tight_coupling,Injected dependencies allow substitutable implementations.
principle_small_functions,mitigates,smell_complex_conditionals,Smaller functions and guard clauses simplify branches.
principle_input_validation,mitigates,smell_poor_validation,Centralized validation checks inputs consistently.
principle_dry,mitigates,smell_comment_debt,Expressive code and shared abstractions reduce the need for explanatory comments.
