subject_id,repo_owner,repo_name,repo_url,primary_language,is_legacy,legacy_rationale,license_spdx,license_url,license_verified_at,needs_ai_tool_license_agreement,ai_tool_policy_notes,issue_id,issue_url,issue_comment_id,issue_comment_url,commit_sha,commit_url,change_started_at,pull_request_number,pull_request_url,pr_state,pr_author,pr_created_at,pr_merged_at,change_author_type,change_author_handle,experiment_type,executed_by,comparison_group,task_category,target_language,nfr_focus,testability_gate_status,test_command,build_command,static_analysis_tool,static_analysis_notes,notes
S001,dotnet,runtime,https://github.com/dotnet/runtime,C#,No,Active-maintained foundational infrastructure; world-class automated test gates and strict CI preclude legacy decay profiles.,MIT,https://raw.githubusercontent.com/dotnet/runtime/main/LICENSE.TXT,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Use as active-maintained baseline repo,Good CI + tests; not a legacy candidate
S002,dotnet,aspnetcore,https://github.com/dotnet/aspnetcore,C#,No,Greenfield web-framework baseline; continuous modernization pipelines and robust testability profiles exclude legacy categorization.,MIT,https://raw.githubusercontent.com/dotnet/aspnetcore/main/LICENSE.txt,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Use as active-maintained baseline repo,
S003,StackExchange,StackExchange.Redis,https://github.com/StackExchange/StackExchange.Redis,C#,No,Highly optimized cloud-memory interface layer; lacks historical architectural debt or cross-system environmental isolation.,MIT,https://raw.githubusercontent.com/StackExchange/StackExchange.Redis/main/LICENSE,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Smaller codebase; good for early pilots,
S004,serilog,serilog,https://github.com/serilog/serilog,C#,No,Modern diagnostic logging ecosystem structured on clean modular pipeline patterns; presents negligible technical debt.,Apache-2.0,https://raw.githubusercontent.com/serilog/serilog/dev/LICENSE,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Apache license verified; solid for experiments,
S005,akkadotnet,akka.net,https://github.com/akkadotnet/akka.net,C#,Yes,Long-lived highly concurrent actor-model migration; possesses structural hotspots and complex multi-threaded architectural resistance to change.,Apache-2.0,https://raw.githubusercontent.com/akkadotnet/akka.net/dev/LICENSE,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Good legacy candidate (age/size); confirm with repo history + hotspots,
S006,nunit,nunit,https://github.com/nunit/nunit,C#,No,Testing orchestration framework baseline; exhibits robust verification loops that conflict with legacy untestability definitions.,MIT,https://raw.githubusercontent.com/nunit/nunit/master/LICENSE.txt,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Useful as tooling baseline; may be less representative of “legacy modernization”,
S007,dotnet,roslyn,https://github.com/dotnet/roslyn,C#,No,Extensive modern compiler infrastructure architecture; actively modernized with extreme automated validation suite coverage.,MIT,https://raw.githubusercontent.com/dotnet/roslyn/main/License.txt,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Very large repo; high overhead; optional,
S008,grpc,grpc-dotnet,https://github.com/grpc/grpc-dotnet,C#,No,Modern high-performance cloud-native remote procedure library natively tailored for microservices; free from monolithic decay patterns.,Apache-2.0,https://raw.githubusercontent.com/grpc/grpc-dotnet/master/LICENSE,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Modern but production-grade; good for non-legacy control group,
S009,dotnet,efcore,https://github.com/dotnet/efcore,C#,No,Active object-relational mapping repository; clean encapsulation and modern structural iterations negate technical debt baselines.,MIT,https://raw.githubusercontent.com/dotnet/efcore/main/LICENSE.txt,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Large but well-instrumented; good for issue-centric prompts,
S010,App-vNext,Polly,https://github.com/App-vNext/Polly,C#,No,Abstract fault-tolerance resilience interface; structurally designed around forward-looking microservice reliability patterns.,BSD-3-Clause,https://raw.githubusercontent.com/App-vNext/Polly/master/LICENSE,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Resilience library; useful for reliability/testability experiments,
S011,MassTransit,MassTransit,https://github.com/MassTransit/MassTransit,C#,Yes,Complex enterprise service bus architecture; exhibits high structural technical debt hotspots and heavy environmental integration coupling.,Apache-2.0,https://raw.githubusercontent.com/MassTransit/MassTransit/master/LICENSE,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,Enterprise-style architecture; potential legacy hotspots,
S012,autofac,Autofac,https://github.com/autofac/Autofac,C#,Yes,Long-lived dependency engine containing legacy object-instantiation coupling; contains historical code smells ideal for automated refactoring metrics.,MIT,https://raw.githubusercontent.com/autofac/Autofac/develop/LICENSE,2026-04-15,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,csharp_corpus_v1,unknown,C#,[],unknown,,,SonarQube/Roslyn,DI container; good for DIP-related smells and refactors,
S013,torvalds,linux,https://github.com/torvalds/linux,C,Yes,Decades-old monolithic kernel infrastructure; contains deep historical driver subsystems with high structural rigidity and lost institutional context.,GPL-2.0,https://raw.githubusercontent.com/torvalds/linux/master/COPYING,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,c_corpus_v1,unknown,C,[],unknown,,,GCC/Sparse,Premier low-level structural legacy framework; evaluate on drivers/filesystem modules,
S014,openssl,openssl,https://github.com/openssl/openssl,C,Yes,Critical infrastructure baseline suffering from extensive historical architectural coupling and complex code pathways that challenge test coverage rules.,Apache-2.0,https://raw.githubusercontent.com/openssl/openssl/master/LICENSE.txt,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,c_corpus_v1,unknown,C,[],unknown,,,Clang-Tidy,High-friction codebase ideal for reverse engineering and code comprehension experiments,
S017,ceph,ceph,https://github.com/ceph/ceph,C++,Yes,Massive distributed storage network architecture showing accumulated structural complexity and significant environmental integration dependencies.,LGPL-2.1,https://raw.githubusercontent.com/ceph/ceph/master/COPYING,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,cpp_corpus_v1,unknown,C++,[],unknown,,,Clang-Tidy,Large surface area; high architectural complexity with technical debt hotspots,
S018,python,cpython,https://github.com/python/cpython,C,Yes,Contains aging core evaluation loop modules (e.g.," historical macro configurations) that present localized resistance to rapid refactoring loops.",Python-2.0,https://raw.githubusercontent.com/python/cpython/main/LICENSE,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,c_corpus_v1,unknown,C,[],unknown,,,SonarQube,Isolate older internal evaluation subsystems for targeted technical debt mitigation analysis,
S019,apache,tomcat,https://github.com/apache/tomcat,Java,Yes,Over 25 years old server container implementation. Retains highly complex web-specification servlet dependencies and deeply nested legacy lifecycle states resistant to modifications.,Apache-2.0,https://raw.githubusercontent.com/apache/tomcat/main/LICENSE,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,java_corpus_v1,unknown,Java,[],unknown,,,Checkstyle/FindBugs,Excellent archetypal legacy Java system to evaluate AI code comprehension and migration tasks.,
S020,jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,Java,Yes,Massive ecosystem with structural technical debt accrued from over a decade of backward-compatibility requirements for thousand-plus external legacy plugins.,MIT,https://raw.githubusercontent.com/jenkinsci/jenkins/master/LICENSE.txt,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,java_corpus_v1,unknown,Java,[],unknown,,,SpotBugs,Highly coupled monolithic servlet core architecture prone to code smells and complex refactoring friction.,
S021,apache,cassandra,https://github.com/apache/cassandra,Java,Yes,Large-scale distributed database; contains massive custom data storage engine layouts and historical networking protocols with high cognitive overhead.,Apache-2.0,https://raw.githubusercontent.com/apache/cassandra/trunk/LICENSE.txt,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,java_corpus_v1,unknown,Java,[],unknown,,,Checkstyle,Complex synchronization layers presenting severe risk during code updates and low-level system integrations.,
S022,django,django,https://github.com/django/django,Python,Yes,Long-standing enterprise Python framework. Possesses dense internal meta-programming setups and old ORM modules that showcase evolutionary resistance to major architectural upgrades.,BSD-3-Clause,https://raw.githubusercontent.com/django/django/main/LICENSE,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,python_corpus_v1,unknown,Python,[],unknown,,,Flake8/Black,Ideal context to measure AI code intelligence when resolving deep technical debt patterns inside Python pipelines.,
S023,boto,boto,https://github.com/boto/boto,Python,Yes,The original," now-deprecated AWS Python SDK interface. Explicitly locked in an immutable state due to missing comprehensive automated validation suites for modern integrations.",MIT,https://raw.githubusercontent.com/boto/boto/master/LICENSE,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,python_corpus_v1,unknown,Python,[],unknown,,,Pylint,Perfect match for Feathers' definition of legacy software lacking modern environmental integration workflows.,
S024,apache,hadoop,https://github.com/apache/hadoop,Java,Yes,A monumental big-data system displaying massive structural scale," tightly coupled distributed processing primitives"," and considerable technical debt in its older native IPC nodes.",Apache-2.0,https://raw.githubusercontent.com/apache/hadoop/trunk/LICENSE.txt,2026-06-07,unknown,," "," "," "," "," "," "," "," "," "," "," "," "," ",unknown,,automated-pipeline,authors,java_corpus_v1,unknown,Java,[],unknown,,,SpotBugs,Presents massive cognitive comprehension gaps and high architectural rigidity for automated engineering agents.,
1,angular,angular.js,https://github.com/angular/angular.js,JavaScript,TRUE,Officially archived and deprecated in Jan 2022. Replaced by Angular v2+,MIT,https://github.com/angular/angular.js/blob/master/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,JavaScript,maintainability,passed,npm test,npm run build,eslint,,Legacy framework migration baseline.
2,jquery,jquery,https://github.com/jquery/jquery,JavaScript,TRUE,Massive legacy codebase with historic patterns. Decreasing active maintenance,MIT,https://github.com/jquery/jquery/blob/main/LICENSE.txt,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,JavaScript,compatibility,passed,npm test,npm run build,eslint,,Excellent for testing legacy DOM manipulation refactoring.
3,rails,rails,https://github.com/rails/rails,Ruby,TRUE,Contains large historical legacy modules (ActiveRecord/ActionPack patterns),MIT,https://github.com/rails/rails/blob/main/MIT-LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,migration,Ruby,maintainability,passed,bundle exec rake test,bundle install,rubocop,,Focus on legacy Ruby patterns.
4,python,cpython,https://github.com/python/cpython,Python,TRUE,Deep legacy C and Python codebases spanning decades of evolution,Python-2.0,https://github.com/python/cpython/blob/main/LICENSE,2026-06-30,FALSE,PSF License Agreement is open,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,Python,performance,passed,make test,make,flake8,,Ideal for strict backwards compatibility testing.
5,apache,httpd,https://github.com/apache/httpd,C,TRUE,Classic legacy C codebase written in the late 90s/early 2000s structural style,Apache-2.0,https://github.com/apache/httpd/blob/trunk/LICENSE,2026-06-30,FALSE,Apache 2.0 allows commercial and AI training use,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,security,C,security,passed,make check,./configure && make,cppcheck,,Legacy memory management paradigms.
6,git,git,https://github.com/git/git,C,TRUE,Highly optimized but legacy structural C design heavily reliant on shell wrapping,GPL-2.0,https://github.com/git/git/blob/master/COPYING,2026-06-30,FALSE,GPL-2.0 copyleft considerations applied,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,C,testability,passed,make test,make,sparse,,Legacy monolithic codebase.
7,spring-projects,spring-framework,https://github.com/spring-projects/spring-framework,Java,TRUE,Contains decades of enterprise enterprise legacy Java architecture and XML handling,Apache-2.0,https://github.com/spring-projects/spring-framework/blob/main/LICENSE.txt,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,migration,Java,maintainability,passed,./gradlew test,./gradlew build,sonar,,Legacy J2EE/Jakarta paradigm evolution.
8,django,django,https://github.com/django/django,Python,TRUE,Matured codebase retaining historical design decisions and old WSGI/async patterns,BSD-3-Clause,https://github.com/django/django/blob/main/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,Python,maintainability,passed,python tests/runtests.py,pip install -e .,pylint,,Legacy web architecture patterns.
9,php,php-src,https://github.com/php/php-src,C,TRUE,Core engine contains massive legacy macroeconomic C macro-structures from early versions,PHP-3.01,https://github.com/php/php-src/blob/master/LICENSE,2026-06-30,FALSE,PHP License allows custom usage,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,C,robustness,passed,make test,./buildconf && ./configure && make,cppcheck,,Heavy legacy macro system.
10,facebook,react,https://github.com/facebook/react,JavaScript,TRUE,Early modules contain legacy Class-based components and historic fiber architecture,MIT,https://github.com/facebook/react/blob/main/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,migration,JavaScript,maintainability,passed,yarn test,yarn build,eslint,,Great for Class-to-Hooks conversion experiments.
11,moby,moby,https://github.com/moby/moby,Go,TRUE,The original Docker codebase with deep architectural legacy and historical container primitives,Apache-2.0,https://github.com/moby/moby/blob/master/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,Go,maintainability,passed,make test,make,golangci-lint,,Legacy backend go orchestration.
12,bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,C++,TRUE,Historical cryptographic implementation heavily modified from Satoshi Nakamoto original legacy code,MIT,https://github.com/bitcoin/bitcoin/blob/master/COPYING,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,security,C++,robustness,passed,make check,./autogen.sh && ./configure && make,cppcheck,,High security/legacy consensus codebase.
13,torvalds,linux,https://github.com/torvalds/linux,C,TRUE,Decades of monolithic historical C architecture with strict manual memory structures,GPL-2.0,https://github.com/torvalds/linux/blob/master/COPYING,2026-06-30,FALSE,Copyleft code constraints applied,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,C,performance,passed,make kselftest,make,sparse,,Ultimate monolithic legacy systems benchmark.
14,curl,curl,https://github.com/curl/curl,C,TRUE,Matured legacy networking engine written in structural C dating back to 1996,curl,https://github.com/curl/curl/blob/master/COPYING,2026-06-30,FALSE,Permissive custom open source license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,security,C,security,passed,make test,./configure && make,cppcheck,,High-stability networking code.
15,openssl,openssl,https://github.com/openssl/openssl,C,TRUE,Contains extensive legacy cryptographic algorithm support and complex assembly interfaces,Apache-2.0,https://github.com/openssl/openssl/blob/master/LICENSE.txt,2026-06-30,FALSE,Apache 2.0 license verified,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,security,C,cryptography,passed,make test,./config && make,cppcheck,,Legacy crypto API refactoring focus.
16,ffmpeg,ffmpeg,https://github.com/ffmpeg/ffmpeg,C,TRUE,Massive legacy media encoding engine with complex data structures and manually unrolled loops,GPL-2.0,https://github.com/ffmpeg/ffmpeg/blob/master/COPYING.GPLv2,2026-06-30,FALSE,GPL restrictions apply for certain modules,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,performance,C,efficiency,passed,make fate,./configure && make,sparse,,Complex media processing legacy structures.
17,redis,redis,https://github.com/redis/redis,C,TRUE,Legacy key-value cache memory architecture featuring historical event loop model,BSD-3-Clause,https://github.com/redis/redis/blob/unstable/COPYING,2026-06-30,FALSE,Permissive BSD engine license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,C,performance,passed,make test,make,cppcheck,,In-memory database structure evolution.
18,node,node,https://github.com/node/node,C++,TRUE,Deeply complex architecture wrapping historical legacy V8 engine configurations,MIT,https://github.com/node/node/blob/main/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,migration,C++,compatibility,passed,make test,./configure && make,cppcheck,,Asynchronous runtime infrastructure.
19,postgres,postgres,https://github.com/postgres/postgres,C,TRUE,Decades of database engineering relational engine heritage rooted in legacy architectural models,PostgreSQL,https://github.com/postgres/postgres/blob/master/COPYRIGHT,2026-06-30,FALSE,Permissive custom DB license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,C,robustness,passed,make check,./configure && make,sparse,,Relational storage system legacy algorithms.
20,elastic,elasticsearch,https://github.com/elastic/elasticsearch,Java,TRUE,Large distributed search infrastructure built over legacy Apache Lucene primitives,Elastic-2.0,https://github.com/elastic/elasticsearch/blob/main/licenses/ELASTIC-LICENSE-2.0.txt,2026-06-30,FALSE,Custom source-available license applied,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,migration,Java,scalability,passed,./gradlew test,./gradlew assemble,sonar,,Distributed system architectural legacy.
21,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,C++,TRUE,Early monolithic deep learning graphs containing heavy legacy C++ and Python APIs,Apache-2.0,https://github.com/tensorflow/tensorflow/blob/master/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,migration,C++,performance,passed,bazel test //tensorflow/...,bazel build //tensorflow/...,cppcheck,,ML library architectural transformation.
22,kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,Go,TRUE,Massive enterprise cloud codebase retaining historical API machinery legacy models,Apache-2.0,https://github.com/kubernetes/kubernetes/blob/master/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,Go,maintainability,passed,make test,make,golangci-lint,,Cloud native orchestration benchmark.
23,laravel,framework,https://github.com/laravel/framework,PHP,TRUE,Evolved PHP MVC architecture containing historical container patterns and active records,MIT,https://github.com/laravel/framework/blob/11.x/LICENSE.md,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,PHP,maintainability,passed,vendor/bin/phpunit,composer install,phpstan,,Enterprise PHP system legacy.
24,symfony,symfony,https://github.com/symfony/symfony,PHP,TRUE,One of the oldest PHP component architectures containing heavily layered historical decoupling models,MIT,https://github.com/symfony/symfony/blob/7.1/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,migration,PHP,maintainability,passed,vendor/bin/phpunit,composer install,phpstan,,Component decoupled design legacy.
25,opencv,opencv,https://github.com/opencv/opencv,C++,TRUE,Computer vision library with massive legacy C matrix structures migrating to advanced C++,Apache-2.0,https://github.com/opencv/opencv/blob/4.x/LICENSE,2026-06-30,FALSE,Open-source permissive license,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,refactoring,C++,performance,passed,make opencv_test_core,cmake . && make,cppcheck,,Mathematical vision array processing legacy.
26,vlc,vlc,https://github.com/videolan/vlc,C,TRUE,VideoLAN player code with decades of structural plugins and raw legacy multimedia decode loops,GPL-2.0,https://github.com/videolan/vlc/blob/master/COPYING,2026-06-30,FALSE,GPL copyleft constraint applied,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,security,C,robustness,passed,make check,./bootstrap && ./configure && make,cppcheck,,Cross platform modular codec legacy.
27,wireshark,wireshark,https://github.com/wireshark/wireshark,C,TRUE,Massive historical network dissector library with high risk of memory errors in legacy parsers,GPL-2.0,https://github.com/wireshark/wireshark/blob/master/COPYING,2026-06-30,FALSE,GPL copyleft constraint applied,,,,,,,,,,,,,,,,,human_expert,,experiment,automated,control,security,C,security,passed,make test,cmake . && make,cppcheck,,Legacy network parsing safety.
