Id,Type,Name,NFRCategory,Description
nfr_maintainability,NFR,Maintainability,Maintainability,How easily the system can be changed or extended over time.
nfr_readability,NFR,Readability,Readability,How easily developers can understand the code intent and structure.
nfr_testability,NFR,Testability,Testability,How easily the system can be verified through automated and manual tests.
nfr_reliability,NFR,Reliability,Reliability,How consistently the system performs its required functions without failure.
nfr_performance,NFR,Performance,Performance,How efficiently the system uses resources such as CPU memory and network.
nfr_security,NFR,Security,Security,How well the system protects data and behavior from unauthorized access or misuse.
nfr_scalability,NFR,Scalability,Scalability,How well the system handles increasing load by adding resources.
nfr_usability,NFR,Usability,Usability,How easy it is for users to learn and effectively use the system.

principle_single_responsibility,Principle,Single Responsibility Principle,Maintainability,Each module or class should have one reason to change.
principle_meaningful_names,Principle,Meaningful Names,Readability,Names of variables functions and classes clearly communicate their purpose.
principle_small_functions,Principle,Small Functions,Readability,Functions should be short and do one thing well.
principle_dry,Principle,DRY,Maintainability,Do not repeat logic; extract common behavior into shared abstractions.
principle_low_coupling,Principle,Low Coupling,Maintainability,Modules should depend on as few other modules as possible.
principle_high_cohesion,Principle,High Cohesion,Maintainability,Related behavior and data should be kept together.
principle_encapsulation,Principle,Encapsulation,Maintainability,Hiding internal details behind stable interfaces.
principle_defensive_programming,Principle,Defensive Programming,Reliability,Code anticipates and safely handles invalid or unexpected inputs.
principle_fail_fast,Principle,Fail Fast,Reliability,Detect problems early and stop execution close to the source of the error.
principle_immutability,Principle,Immutability,Reliability,Prefer immutable data to avoid unintended side effects especially in concurrent code.
principle_logging_monitoring,Principle,Logging and Monitoring,Reliability,Record and observe system behavior to support diagnosis and operations.
principle_input_validation,Principle,Input Validation,Security,Validate and sanitize all external inputs.
principle_dependency_injection,Principle,Dependency Injection,Testability,Depend on abstractions and inject collaborators to enable isolation in tests.
principle_separation_of_concerns,Principle,Separation of Concerns,Maintainability,Divide the system so that each part handles a distinct concern.
principle_open_closed,Principle,Open/Closed Principle,Maintainability,Software entities should be open for extension but closed for modification; add behavior by adding new code not by changing existing code.
principle_interface_segregation,Principle,Interface Segregation Principle,Maintainability,Clients should not be forced to depend on methods they do not use; prefer many small focused interfaces over one fat interface.
principle_clear_error_handling,Principle,Clear Error Handling,Reliability,Use consistent and explicit error handling strategies.

practice_code_reviews,Practice,Code Reviews,Maintainability,Peers review changes to improve quality knowledge sharing and defect detection.
practice_static_analysis,Practice,Static Analysis,Maintainability,Automated tools analyze code for defects style and smells.
practice_continuous_integration,Practice,Continuous Integration,Reliability,Changes are integrated and tested frequently to detect issues early.
practice_test_automation,Practice,Test Automation,Testability,Automated tests run regularly to guard against regressions.
practice_refactoring,Practice,Refactoring,Maintainability,Behavior-preserving changes improve internal structure and clarity.
practice_coding_standards,Practice,Coding Standards,Readability,Team-agreed conventions for style naming and structure.
practice_pair_programming,Practice,Pair Programming,Maintainability,Two developers collaborate at one workstation to improve quality and knowledge sharing.
practice_observability,Practice,Observability,Reliability,Metrics logs and traces give insight into runtime behavior.
practice_continuous_delivery,Practice,Continuous Delivery,Reliability,Automated deployments keep releases small and reversible.

smell_long_method,Smell,Long Method,Maintainability,Functions that are too long and mix multiple responsibilities.
smell_large_class,Smell,Large Class,Maintainability,Classes that handle many unrelated responsibilities.
smell_duplicate_code,Smell,Duplicate Code,Maintainability,Same or very similar logic appears in multiple places.
smell_long_parameter_list,Smell,Long Parameter List,Readability,Methods or functions with many parameters.
smell_feature_envy,Smell,Feature Envy,Maintainability,A method uses data from another object more than its own.
smell_god_object,Smell,God Object,Maintainability,A single object knows too much or does too much.
smell_magic_numbers,Smell,Magic Numbers,Readability,Unexplained numeric or string literals in code.
smell_comment_debt,Smell,Comment Debt,Maintainability,Outdated misleading or overly verbose comments.
smell_tight_coupling,Smell,Tight Coupling,Maintainability,Components are highly dependent on specific implementations.
smell_global_state,Smell,Global State,Reliability,Shared mutable state is accessible from many parts of the system.
smell_primitive_obsession,Smell,Primitive Obsession,Maintainability,Using primitive types instead of meaningful domain abstractions.
smell_lack_of_tests,Smell,Lack of Tests,Testability,Critical behavior is not covered by automated tests.
smell_inconsistent_error_handling,Smell,Inconsistent Error Handling,Reliability,Errors are handled in ad-hoc or unclear ways.
smell_no_logging,Smell,No Logging,Reliability,Important paths lack logging making diagnosis hard.
smell_inefficient_algorithm,Smell,Inefficient Algorithm,Performance,Algorithms do significantly more work than necessary.
smell_chatty_interface,Smell,Chatty Interface,Performance,Many small remote calls instead of fewer coarse-grained operations.
smell_insecure_defaults,Smell,Insecure Defaults,Security,Default settings favor convenience over safety.
smell_poor_validation,Smell,Poor Validation,Security,Inputs are not thoroughly validated or sanitized.
smell_complex_conditionals,Smell,Complex Conditionals,Readability,Nested or hard-to-follow conditional logic.
smell_mixed_concerns,Smell,Mixed Concerns,Maintainability,UI business and infrastructure code intermixed in the same component.
